identifier,full_link,title,weight
coin-1918,https://catalog.princeton.edu/catalog/coin-1918,Coin 1918,7.21
coin-1934,https://catalog.princeton.edu/catalog/coin-1934,Coin 1934,0.56
coin-1944,https://catalog.princeton.edu/catalog/coin-1944,Coin 1944,3.92
coin-1936,https://catalog.princeton.edu/catalog/coin-1936,Coin 1936,0.84
coin-714,https://catalog.princeton.edu/catalog/coin-714,Coin 714,1.65
coin-1937,https://catalog.princeton.edu/catalog/coin-1937,Coin 1937,13.44
coin-1933,https://catalog.princeton.edu/catalog/coin-1933,Coin 1933,0.44
coin-5049,https://catalog.princeton.edu/catalog/coin-5049,Coin 5049,2.11
coin-1935,https://catalog.princeton.edu/catalog/coin-1935,Coin 1935,1.55
coin-4978,https://catalog.princeton.edu/catalog/coin-4978,Coin 4978,7.52
coin-4867,https://catalog.princeton.edu/catalog/coin-4867,Coin 4867,3.16
coin-712,https://catalog.princeton.edu/catalog/coin-712,Coin 712,
coin-4840,https://catalog.princeton.edu/catalog/coin-4840,Coin 4840,
coin-4709,https://catalog.princeton.edu/catalog/coin-4709,Coin 4709,3.55
coin-1928,https://catalog.princeton.edu/catalog/coin-1928,Coin 1928,3.7
coin-1811,https://catalog.princeton.edu/catalog/coin-1811,Coin 1811,7.62
coin-1902,https://catalog.princeton.edu/catalog/coin-1902,Coin 1902,16.89
coin-1926,https://catalog.princeton.edu/catalog/coin-1926,Coin 1926,4.17
coin-706,https://catalog.princeton.edu/catalog/coin-706,Coin 706,1.08
coin-1901,https://catalog.princeton.edu/catalog/coin-1901,Coin 1901,8.67
coin-1836,https://catalog.princeton.edu/catalog/coin-1836,Coin 1836,25.64
coin-705,https://catalog.princeton.edu/catalog/coin-705,Coin 705,
coin-2300,https://catalog.princeton.edu/catalog/coin-2300,Coin 2300,4.49
coin-1875,https://catalog.princeton.edu/catalog/coin-1875,Coin 1875,8.99
coin-1834,https://catalog.princeton.edu/catalog/coin-1834,Coin 1834,8.85
coin-1806,https://catalog.princeton.edu/catalog/coin-1806,Coin 1806,8.28
coin-1835,https://catalog.princeton.edu/catalog/coin-1835,Coin 1835,27.04
coin-704,https://catalog.princeton.edu/catalog/coin-704,Coin 704,1.17
coin-1793,https://catalog.princeton.edu/catalog/coin-1793,Coin 1793,13.23
coin-1855,https://catalog.princeton.edu/catalog/coin-1855,Coin 1855,32.91
coin-1853,https://catalog.princeton.edu/catalog/coin-1853,Coin 1853,5.36
coin-1817,https://catalog.princeton.edu/catalog/coin-1817,Coin 1817,9.31
coin-4518,https://catalog.princeton.edu/catalog/coin-4518,Coin 4518,13.39
coin-1848,https://catalog.princeton.edu/catalog/coin-1848,Coin 1848,
coin-1849,https://catalog.princeton.edu/catalog/coin-1849,Coin 1849,8.12
coin-703,https://catalog.princeton.edu/catalog/coin-703,Coin 703,
coin-1822,https://catalog.princeton.edu/catalog/coin-1822,Coin 1822,13.47
coin-1815,https://catalog.princeton.edu/catalog/coin-1815,Coin 1815,14.56
coin-1802,https://catalog.princeton.edu/catalog/coin-1802,Coin 1802,8.53
