identifier,full_link,title,weight,axis
coin-11910,https://catalog.princeton.edu/catalog/coin-11910,"Hadrian (117 to 138), denarius, Rome",3.36,6
coin-11911,https://catalog.princeton.edu/catalog/coin-11911,"Hadrian (117 to 138), denarius",2.97,6
coin-11912,https://catalog.princeton.edu/catalog/coin-11912,"Hadrian (117 to 138), denarius, Rome",3.09,6
coin-11913,https://catalog.princeton.edu/catalog/coin-11913,"Hadrian (117 to 138), denarius, Rome",3.08,6
coin-11914,https://catalog.princeton.edu/catalog/coin-11914,"Hadrian (117 to 138), denarius, Rome",3.08,6
coin-11915,https://catalog.princeton.edu/catalog/coin-11915,"Hadrian (117 to 138), denarius, Rome",2.81,6
coin-11916,https://catalog.princeton.edu/catalog/coin-11916,"Hadrian (117 to 138), denarius, Rome",2.98,6
coin-11917,https://catalog.princeton.edu/catalog/coin-11917,"Hadrian (117 to 138), denarius, Rome",2.71,6
coin-11918,https://catalog.princeton.edu/catalog/coin-11918,"Hadrian (117 to 138), denarius, Rome",3.15,7
coin-11919,https://catalog.princeton.edu/catalog/coin-11919,"Hadrian (117 to 138), denarius, Rome",2.95,6
coin-11920,https://catalog.princeton.edu/catalog/coin-11920,"Hadrian (117 to 138), denarius serratus, Rome",3.32,6
coin-11921,https://catalog.princeton.edu/catalog/coin-11921,"Hadrian (117 to 138), dupondius, Rome",11.83,6
coin-11922,https://catalog.princeton.edu/catalog/coin-11922,"Hadrian (117 to 138), dupondius, Rome",11.53,6
coin-11923,https://catalog.princeton.edu/catalog/coin-11923,"Hadrian (117 to 138), as, Rome",12.17,6
coin-11924,https://catalog.princeton.edu/catalog/coin-11924,"Hadrian (117 to 138), as, Rome",8.76,6
coin-11925,https://catalog.princeton.edu/catalog/coin-11925,"Hadrian (117 to 138), semis, Rome",3.72,6
coin-11926,https://catalog.princeton.edu/catalog/coin-11926,"Hadrian (117 to 138), sestertius, Rome",24.21,12
